§2    Styreverv mv.              Styreleder Nordfjord Miljøverk (lønnet)
                                 Nestleder styret Nordfjord Havn (lønnet)
                                 Nestleder styret Stryn Røde Kors (ulønnet)
                                 styremedlem Stryn Luftsport (ulønnet)
§4    Lønnet stilling m.v.       Prosjektleder Stryn Næringshage AS
§9    Selskapsinteresser         Hjelledalen Kraftlag AS (5 aksjer)
                                 Havkraft AS (50 aksjer)
                                 Storebrand ASA (10 aksjer)
