§2    Styreverv mv.              1. vara i styret til Øre Vil SA - ulønnet
§5    Tidligere arbeidsgiver     Ulønnet permisjon fra Gjemnes kommune 2025 - 2029
§9    Selskapsinteresser         Gjensidige Forsikring - 15 aksjer
                                 Höegh Autoliners - 230 aksjer
                                 MPC Container Ships - 563 aksjer
                                 Protector Forsikring - 21 aksjer
                                 Sparebank 1 Nordmøre - 58 aksjer
                                 Sparebank 1 SMN - 49 aksjer
                                 Øre Vilt SA - 1 andel
